EID	GROUP	COLOR	MNEMONIC	STD_NAME	EDACC_NAME	ANATOMY	TYPE	AGE	SEX	SOLID_LIQUID	ETHNICITY	SINGLEDONOR_COMPOSITE
E053	Neurosph	#FFD924	BRN.CRTX.DR.NRSPHR	Cortex derived primary cultured neurospheres	Neurosphere_Cultured_Cells_Cortex_Derived	BRAIN	PrimaryCulture	17GW	Female	SOLID	Unknown	SD
E054	Neurosph	#FFD924	BRN.GANGEM.DR.NRSPHR	Ganglion Eminence derived primary cultured neurospheres	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	BRAIN	PrimaryCulture	17GW	Female	SOLID	Unknown	SD
E067	Brain	#C5912B	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	BRAIN	PrimaryTissue	"75Y, 81Y"	Mixed	SOLID	Unknown	C
E068	Brain	#C5912B	BRN.ANT.CAUD	Brain Anterior Caudate	Brain_Anterior_Caudate	BRAIN	PrimaryTissue	"75Y, 81Y"	Mixed	SOLID	Unknown	C
E069	Brain	#C5912B	BRN.CING.GYR	Brain Cingulate Gyrus	Brain_Cingulate_Gyrus	BRAIN	PrimaryTissue	"75Y, 81Y"	Mixed	SOLID	Unknown	C
E070	Brain	#C5912B	BRN.GRM.MTRX	Brain Germinal Matrix	Brain_Germinal_Matrix	BRAIN	PrimaryTissue	20GW	Male	SOLID	Unknown	SD
E071	Brain	#C5912B	BRN.HIPP.MID	Brain Hippocampus Middle	Brain_Hippocampus_Middle	BRAIN	PrimaryTissue	"81Y, 73Y"	Male	SOLID	Unknown	C
E072	Brain	#C5912B	BRN.INF.TMP	Brain Inferior Temporal Lobe	Brain_Inferior_Temporal_Lobe	BRAIN	PrimaryTissue	"75Y, 81Y"	Mixed	SOLID	Unknown	C
E073	Brain	#C5912B	BRN.DL.PRFRNTL.CRTX	Brain_Dorsolateral_Prefrontal_Cortex	Brain_Mid_Frontal_Lobe	BRAIN	PrimaryTissue	"75Y, 81Y"	Mixed	SOLID	Unknown	C
E074	Brain	#C5912B	BRN.SUB.NIG	Brain Substantia Nigra	Brain_Substantia_Nigra	BRAIN	PrimaryTissue	"75Y, 81Y"	Mixed	SOLID	Unknown	C
E081	Brain	#C5912B	BRN.FET.M	Fetal Brain Male	Fetal_Brain_Male	BRAIN	PrimaryTissue	"17GW, 17GW"	Male/Unknown	SOLID	Unknown	C
E082	Brain	#C5912B	BRN.FET.F	Fetal Brain Female	Fetal_Brain_Female	BRAIN	PrimaryTissue	17GW. 17GW	Female	SOLID	Unknown	C
E125	ENCODE2012	#000000	BRN.NHA	NH-A Astrocytes Primary Cells	NH-A_Astrocytes	BRAIN	PrimaryCulture		Unknown			SD
