donor,sample,amp
1278,GliaLC-5-B12,MDA
1278,GliaLC-5-B7,MDA
1278,GliaLC-5-B8,MDA
1278,GliaLC-5-C7,MDA
1278,GliaLC-5-D10,MDA
1278,GliaLC-5-E12,MDA
1278,GliaLC-5-E7,MDA
1278,GliaLC-5-G7,MDA
1278,GliaLC-5-H10,MDA
1278,GliaLC-5-H11,MDA
5171,GliaLC-6-A5,MDA
5171,GliaLC-6-B4,MDA
5171,GliaLC-6-B5,MDA
5171,GliaLC-6-C1,MDA
5171,GliaLC-6-C2,MDA
5171,GliaLC-6-E6,MDA
5171,GliaLC-6-F3,MDA
5171,GliaLC-6-G3,MDA
5171,GliaLC-6-G4,MDA
5171,GliaLC-6-H3,MDA
5657,GliaLC-4-B12,MDA
5657,GliaLC-4-D12,MDA
5657,GliaLC-4-D8,MDA
5657,GliaLC-4-E12,MDA
5657,GliaLC-4-F11,MDA
5657,GliaLC-4-F7,MDA
5657,GliaLC-4-F9,MDA
5657,GliaLC-4-G10,MDA
5657,GliaLC-4-H7,MDA
5657,GliaLC-4-H8,MDA
5871,GliaLC-6-A7,MDA
5871,GliaLC-6-B10,MDA
5871,GliaLC-6-D10,MDA
5871,GliaLC-6-D8,MDA
5871,GliaLC-6-E7,MDA
5871,GliaLC-6-F10,MDA
5871,GliaLC-6-F12,MDA
5871,GliaLC-6-G7,MDA
5871,GliaLC-6-H12,MDA
5871,GliaLC-6-H7,MDA
1278,1278-Oligo-5,PTA
1278,1278-Oligo-7,PTA
1278,1278-Oligo-8,PTA
1465,1465-Oligo-5,PTA
1465,1465-Oligo-7,PTA
1465,1465-Oligo-8,PTA
4638,4638-Neuron-4,PTA
4638,4638-Neuron-5,PTA
4638,4638-Neuron-6,PTA
4638,4638-Oligo-4,PTA
4638,4638-Oligo-5,PTA
4643,4643-Neuron-3,PTA
4643,4643-Neuron-4,PTA
4643,4643-Neuron-6,PTA
4643,4643-Oligo-5,PTA
4643,4643-Oligo-6,PTA
4643,4643-Oligo-8,PTA
5087,5087-Oligo-4,PTA
5087,5087-Oligo-5,PTA
5087,5087-Oligo-7,PTA
5219,5219-Neuron-2,PTA
5219,5219-Neuron-4,PTA
5219,5219-Neuron-5,PTA
5219,5219-Oligo-5,PTA
5219,5219-Oligo-6,PTA
5219,5219-Oligo-7,PTA
5559,5559-Oligo-3,PTA
5559,5559-Oligo-5,PTA
5559,5559-Oligo-8,PTA
5657,5657-Oligo-3,PTA
5657,5657-Oligo-5,PTA
5657,5657-Oligo-7,PTA
5817,5817-Oligo-4,PTA
5817,5817-Oligo-6,PTA
5817,5817-Oligo-7,PTA
5823,5823-Oligo-6,PTA
5823,5823-Oligo-7,PTA
5823,5823-Oligo-8,PTA
5871,5871-Neuron-4,PTA
5871,5871-Neuron-5,PTA
5871,5871-Neuron-6,PTA
5871,5871-Oligo-4,PTA
5871,5871-Oligo-5,PTA
5871,5871-Oligo-7,PTA
936,936-Oligo-4,PTA
936,936-Oligo-5,PTA
936,936-Oligo-6,PTA
5871,5871-BLK-liver,bulk
1278,1278BA9-A,PTA
1278,1278BA9-B,PTA
1278,1278BA9-C,PTA
1465,1465BA9-A,PTA
1465,1465BA9-B,PTA
1465,1465BA9-C,PTA
1465,1465BA9-D,PTA
5087,5087PFC-A,PTA
5087,5087PFC-B,PTA
5087,5087PFC-C,PTA
